Data;ISPB;Nome;NaturezaUsuario;TipoChave;qtdChaves
31/08/2023;42898825;CECM MEDICOS E PROFISSIONAIS AREA SAUDE DO BRASIL;PF;Aleatoria;9734
31/07/2023;32430233;SICOOB CONEXAO;PJ;Aleatoria;3084
30/04/2023;67960229;CC CREDIGUACU;PJ;e-mail;1679
28/02/2023;53518684;BCO HSBC SA;PJ;CNPJ;8
31/08/2023;57647653;COOP SICREDI FORCA DOS VENTOS;PJ;Celular;238
31/07/2023;9464032;MIDWAY SA - SCFI;PF;e-mail;74675
30/06/2023;1760242;CCLA DE BH E CIDADES POLO DE MG;PF;CPF;3108
31/01/2023;2282165;CC SICOOB CREDICONQUISTA;PF;CPF;1406
31/05/2023;2493000;SICOOB LESTE;PJ;Aleatoria;601
30/04/2023;27084098;TRANSFEERA IP SA;PJ;Celular;30
30/06/2023;22896431;PICPAY;PF;Aleatoria;32554713
31/01/2023;26191078;COOP SICREDI SUL DO MARANHAO;PJ;Aleatoria;154
30/04/2023;97489280;COOP SICREDI INTEGRACAO BAHIA;PF;e-mail;665
31/05/2023;63229629;CCR ASCOOB SISAL;PF;Celular;2063
31/07/2023;5231945;COOP CRESOL UNIAO DOS VALES;PJ;e-mail;306
30/06/2023;37631058;CCLA DE PALMEIRAS E REGIAO;PJ;Celular;107
31/01/2023;45246410;BANCO GENIAL;PF;e-mail;59602
31/07/2023;78483310;CCLA ITAPIRANGA;PF;Aleatoria;1540
31/03/2023;43180355;PEFISA SA - CFI;PJ;e-mail;47
31/08/2023;5351887;ZEMA CFI S/A;PF;e-mail;1078
31/07/2023;21995256;MAG IP LTDA;PJ;e-mail;25
30/06/2023;11581339;BMP SCMEPP LTDA;PF;Aleatoria;2891
31/01/2023;70431630;COOP SICREDI UNIVALES MT/RO;PF;Aleatoria;12572
31/08/2023;95594941;COOP SICREDI REG CENTRO RS/MG;PJ;e-mail;1186
28/02/2023;25104230;PAGARE IP;PJ;CNPJ;4
31/05/2023;33479023;BCO CITIBANK SA;PJ;Aleatoria;123
30/06/2023;32995755;COOP SICREDI SUDOESTE MT/PA;PF;Aleatoria;45711
31/01/2023;4079285;CCLA DE ITAJUBAÅ - SICOOB SUDESTE MAIS;PF;Aleatoria;797
31/01/2023;71884498;CCLA UNICRED DO ESTADO DE SAO PAULO;PF;Celular;2463
28/02/2023;7252614;COOP CRESOL CONFIANCA;PF;Celular;1126
31/05/2023;4138455;CC DO RIO GRANDE DO NORTE - SICOOB RIO GRANDE DO NORTE;PF;Celular;1182
31/03/2023;65229254;CC COOPACREDI;PF;e-mail;1798
